901.txt                                 
    f [Hz]  Sp [m2s]
    0.3833    0.0956
    0.3842    0.0929
    0.3850    0.0899
    0.3858    0.0878
    0.3867    0.0855
    0.3875    0.0835
    0.3883    0.0816
    0.3892    0.0800
    0.3900    0.0785
    0.3908    0.0769
    0.3917    0.0752
    0.3925    0.0738
    0.3933    0.0723
    0.3942    0.0712
    0.3950    0.0704
    0.3958    0.0700
    0.3967    0.0694
    0.3975    0.0688
    0.3983    0.0682
    0.3992    0.0674
    0.4000    0.0667
    0.4008    0.0662
    0.4017    0.0657
    0.4025    0.0653
    0.4033    0.0650
    0.4042    0.0644
    0.4050    0.0638
    0.4058    0.0631
    0.4067    0.0625
    0.4075    0.0620
    0.4083    0.0613
    0.4092    0.0608
    0.4100    0.0609
    0.4108    0.0615
    0.4117    0.0619
    0.4125    0.0624
    0.4133    0.0632
    0.4142    0.0638
    0.4150    0.0645
    0.4158    0.0651
    0.4167    0.0657
    0.4175    0.0662
    0.4183    0.0668
    0.4192    0.0673
    0.4200    0.0675
    0.4208    0.0675
    0.4217    0.0675
    0.4225    0.0671
    0.4233    0.0668
    0.4242    0.0662
    0.4250    0.0660
    0.4258    0.0657
    0.4267    0.0652
    0.4275    0.0651
    0.4283    0.0650
    0.4292    0.0649
    0.4300    0.0648
    0.4308    0.0648
    0.4317    0.0647
    0.4325    0.0644
    0.4333    0.0640
    0.4342    0.0636
    0.4350    0.0633
    0.4358    0.0628
    0.4367    0.0621
    0.4375    0.0621
    0.4383    0.0619
    0.4392    0.0615
    0.4400    0.0611
    0.4408    0.0605
    0.4417    0.0597
    0.4425    0.0588
    0.4433    0.0581
    0.4442    0.0572
    0.4450    0.0564
    0.4458    0.0556
    0.4467    0.0548
    0.4475    0.0538
    0.4483    0.0529
    0.4492    0.0522
    0.4500    0.0514
    0.4508    0.0507
    0.4517    0.0503
    0.4525    0.0499
    0.4533    0.0494
    0.4542    0.0489
    0.4550    0.0486
    0.4558    0.0483
    0.4567    0.0478
    0.4575    0.0471
    0.4583    0.0464
    0.4592    0.0459
    0.4600    0.0455
    0.4608    0.0451
    0.4617    0.0446
    0.4625    0.0442
    0.4633    0.0436
    0.4642    0.0429
